skill,level,question name,function,topic,difficulty level,passage text,question text,answertext1,answertext2,answertext3,answertext4,answertext5,answertext6
reading ,level 1,passage 10 question 1,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.?</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/GroceryShopping.jpg""></p>
	<p>Daniel is shopping at a grocery store to buy food. Where do you buy food? Is it similar to the picture above? Is it different? Daniel is careful about how he uses money. He always writes down how much money he spends at the store. Are you careful about how you use money? How do you use money wisely?</p>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<div style=""list-style-type: none; margin-left: 2em"">
	<dl>
		<dt>quantity (n):</dt>
		<dd>the amount or number of something</dd>
		<dt>example:</dt>
		<dd>I will buy a large quantity of food for the party.</dd>
		<dt>total (n):</dt>
		<dd>how much something is all together</dd>
		<dt>example:</dt>
		<dd>I bought two apples and six oranges. In total, I bought eight pieces of fruit.</dd>
	</dl>
	<p>Daniel just came home from buying food at the grocery store. He has this paper.</p>
		<p><img src=""/Content/EC3_images/R1FP/receipt_R1FP.jpg""></p></div>
</body>
</html>",What type of text is this? ,a menu ,a schedule ,an announcement ,** a receipt ,,
reading ,level 1,passage 10 question 3,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.?</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/GroceryShopping.jpg""></p>
	<p>Daniel is shopping at a grocery store to buy food. Where do you buy food? Is it similar to the picture above? Is it different? Daniel is careful about how he uses money. He always writes down how much money he spends at the store. Are you careful about how you use money? How do you use money wisely?</p>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<div style=""list-style-type: none; margin-left: 2em"">
	<dl>
		<dt>quantity (n):</dt>
		<dd>the amount or number of something</dd>
		<dt>example:</dt>
		<dd>I will buy a large quantity of food for the party.</dd>
		<dt>total (n):</dt>
		<dd>how much something is all together</dd>
		<dt>example:</dt>
		<dd>I bought two apples and six oranges. In total, I bought eight pieces of fruit.</dd>
	</dl>
	<p>Daniel just came home from buying food at the grocery store. He has this paper.</p>
		<p><img src=""/Content/EC3_images/R1FP/receipt_R1FP.jpg""></p></div>
</body>
</html>",Which of these items did Daniel buy two of? ,bags of rice ,loaves of bread ,**boxes of oatmeal ,bags of sugar ,,
reading ,level 1,passage 10 question 5,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.?</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/GroceryShopping.jpg""></p>
	<p>Daniel is shopping at a grocery store to buy food. Where do you buy food? Is it similar to the picture above? Is it different? Daniel is careful about how he uses money. He always writes down how much money he spends at the store. Are you careful about how you use money? How do you use money wisely?</p>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<div style=""list-style-type: none; margin-left: 2em"">
	<dl>
		<dt>quantity (n):</dt>
		<dd>the amount or number of something</dd>
		<dt>example:</dt>
		<dd>I will buy a large quantity of food for the party.</dd>
		<dt>total (n):</dt>
		<dd>how much something is all together</dd>
		<dt>example:</dt>
		<dd>I bought two apples and six oranges. In total, I bought eight pieces of fruit.</dd>
	</dl>
	<p>Daniel just came home from buying food at the grocery store. He has this paper.</p>
		<p><img src=""/Content/EC3_images/R1FP/receipt_R1FP.jpg""></p></div>
</body>
</html>",Which item cost Daniel the most money? ,oatmeal ,rice ,wheat bread ,**dried fruit,,
reading ,level 1,passage 2 question 1,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Asking and Answering questions, you will be able to:</p>
	<ol style=""list-style-type: lower-alpha;"" type="""">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p>When people go to a different country, sometimes it is hard. Sometimes it is because the culture is different. Everything can seem strange or unusual.</p>
	<ul>
		<li>Have you traveled to a different country?</li>
		<li>What did you see that was different?</li>
	</ul>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<dl>
		<dt>shock (n):</dt>
		<dd>a sudden, usually bad feeling caused by something unexpected.</dd>
		<dt>example:</dt>
		<dd>It was a big shock when I failed the test because I studied a lot.</dd>
		<dt>counseling (n):</dt>
		<dd>advice and support that people get when they need help.</dd>
		<dt>example:</dt>
		<dd>The college has career counseling for people who need to find a job.</dd>
	</dl>
	<h2>Passage</h2>
	<p>Masashi is an international student from Japan. He goes to school in the United States. He is very homesick. He goes to see a counselor. She gives him this paper to help him.</p>
	<blockquote>
		<p style=""text-align: center;""><strong>MABLEBERRY COLLEGE COUNSELING SERVICES</strong></p>
		<p>Moving to a new country can be difficult. But you can feel comfortable soon! How can you feel good in a new country?</p>
		<p><strong>What is Culture Shock?</strong><br>
		It is a feeling you may get when you leave your home and go to a new place. This new place is very different. For example, the food, the language, the people, and many other things are strange to you.<br>
		<strong>How do you know if you have Culture Shock?</strong></p>
		<p>Are you&hellip;</p>
		<ul>
			<li>Feeling sad and alone?</li>
			<li>Missing your home country a lot?</li>
			<li>Thinking the local culture is strange or bad?</li>
			<li>Having difficulty eating and sleeping?</li>
			<li>Spending most of your time alone?</li>
		</ul>
		<p><strong>Culture Shock Advice:</strong></p>
		<ul>
			<li>Learn about other cultures.</li>
			<li>Make friends with people from different countries.</li>
			<li>Laugh a lot! Do not be too serious.</li>
			<li>Stay healthy. Exercise. Eat fruits and vegetables. Go to bed early.</li>
			<li>Remember that other cultures are different. They are not better or worse.</li>
			<li>Try foods from other countries. You might like them!</li>
			<li>Learn some words in other languages.</li>
		</ul>
		<p>Please Contact Us:<br>
		Finley Hall, Room 172 (across from the Activities Center)<br>
		Phone: (623) 431-5515<br>
		E-mail: <a>mableberrycounselors@mc.edu</a><br>
		We are here to help you! You can feel better soon. Don&rsquo;t give up!<br></p>
	</blockquote>
</body>
</html>",What kind of reading passage is this? ,**An information pamphlet ,An announcement,An advertisement ,An event schedule ,,
reading ,level 1,passage 2 question 2,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Asking and Answering questions, you will be able to:</p>
	<ol style=""list-style-type: lower-alpha;"" type="""">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p>When people go to a different country, sometimes it is hard. Sometimes it is because the culture is different. Everything can seem strange or unusual.</p>
	<ul>
		<li>Have you traveled to a different country?</li>
		<li>What did you see that was different?</li>
	</ul>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<dl>
		<dt>shock (n):</dt>
		<dd>a sudden, usually bad feeling caused by something unexpected.</dd>
		<dt>example:</dt>
		<dd>It was a big shock when I failed the test because I studied a lot.</dd>
		<dt>counseling (n):</dt>
		<dd>advice and support that people get when they need help.</dd>
		<dt>example:</dt>
		<dd>The college has career counseling for people who need to find a job.</dd>
	</dl>
	<h2>Passage</h2>
	<p>Masashi is an international student from Japan. He goes to school in the United States. He is very homesick. He goes to see a counselor. She gives him this paper to help him.</p>
	<blockquote>
		<p style=""text-align: center;""><strong>MABLEBERRY COLLEGE COUNSELING SERVICES</strong></p>
		<p>Moving to a new country can be difficult. But you can feel comfortable soon! How can you feel good in a new country?</p>
		<p><strong>What is Culture Shock?</strong><br>
		It is a feeling you may get when you leave your home and go to a new place. This new place is very different. For example, the food, the language, the people, and many other things are strange to you.<br>
		<strong>How do you know if you have Culture Shock?</strong></p>
		<p>Are you&hellip;</p>
		<ul>
			<li>Feeling sad and alone?</li>
			<li>Missing your home country a lot?</li>
			<li>Thinking the local culture is strange or bad?</li>
			<li>Having difficulty eating and sleeping?</li>
			<li>Spending most of your time alone?</li>
		</ul>
		<p><strong>Culture Shock Advice:</strong></p>
		<ul>
			<li>Learn about other cultures.</li>
			<li>Make friends with people from different countries.</li>
			<li>Laugh a lot! Do not be too serious.</li>
			<li>Stay healthy. Exercise. Eat fruits and vegetables. Go to bed early.</li>
			<li>Remember that other cultures are different. They are not better or worse.</li>
			<li>Try foods from other countries. You might like them!</li>
			<li>Learn some words in other languages.</li>
		</ul>
		<p>Please Contact Us:<br>
		Finley Hall, Room 172 (across from the Activities Center)<br>
		Phone: (623) 431-5515<br>
		E-mail: <a>mableberrycounselors@mc.edu</a><br>
		We are here to help you! You can feel better soon. Don&rsquo;t give up!<br></p>
	</blockquote>
</body>
</html>",What is the purpose of this reading passage? ,to share news ,**to provide help ,to sell something ,to communicate greetings ,,
reading ,level 1,passage 2 question 4,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Asking and Answering questions, you will be able to:</p>
	<ol style=""list-style-type: lower-alpha;"" type="""">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p>When people go to a different country, sometimes it is hard. Sometimes it is because the culture is different. Everything can seem strange or unusual.</p>
	<ul>
		<li>Have you traveled to a different country?</li>
		<li>What did you see that was different?</li>
	</ul>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<dl>
		<dt>shock (n):</dt>
		<dd>a sudden, usually bad feeling caused by something unexpected.</dd>
		<dt>example:</dt>
		<dd>It was a big shock when I failed the test because I studied a lot.</dd>
		<dt>counseling (n):</dt>
		<dd>advice and support that people get when they need help.</dd>
		<dt>example:</dt>
		<dd>The college has career counseling for people who need to find a job.</dd>
	</dl>
	<h2>Passage</h2>
	<p>Masashi is an international student from Japan. He goes to school in the United States. He is very homesick. He goes to see a counselor. She gives him this paper to help him.</p>
	<blockquote>
		<p style=""text-align: center;""><strong>MABLEBERRY COLLEGE COUNSELING SERVICES</strong></p>
		<p>Moving to a new country can be difficult. But you can feel comfortable soon! How can you feel good in a new country?</p>
		<p><strong>What is Culture Shock?</strong><br>
		It is a feeling you may get when you leave your home and go to a new place. This new place is very different. For example, the food, the language, the people, and many other things are strange to you.<br>
		<strong>How do you know if you have Culture Shock?</strong></p>
		<p>Are you&hellip;</p>
		<ul>
			<li>Feeling sad and alone?</li>
			<li>Missing your home country a lot?</li>
			<li>Thinking the local culture is strange or bad?</li>
			<li>Having difficulty eating and sleeping?</li>
			<li>Spending most of your time alone?</li>
		</ul>
		<p><strong>Culture Shock Advice:</strong></p>
		<ul>
			<li>Learn about other cultures.</li>
			<li>Make friends with people from different countries.</li>
			<li>Laugh a lot! Do not be too serious.</li>
			<li>Stay healthy. Exercise. Eat fruits and vegetables. Go to bed early.</li>
			<li>Remember that other cultures are different. They are not better or worse.</li>
			<li>Try foods from other countries. You might like them!</li>
			<li>Learn some words in other languages.</li>
		</ul>
		<p>Please Contact Us:<br>
		Finley Hall, Room 172 (across from the Activities Center)<br>
		Phone: (623) 431-5515<br>
		E-mail: <a>mableberrycounselors@mc.edu</a><br>
		We are here to help you! You can feel better soon. Don&rsquo;t give up!<br></p>
	</blockquote>
</body>
</html>","According to this passage, where should students go to get more help with culture shock? ",The library (across from the Activities Center) ,The dormitories on campus ,"**Finley Hall, Room 172 ",The cafeteria on campus,,
reading ,level 1,passage 2 question 5,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Asking and Answering questions, you will be able to:</p>
	<ol style=""list-style-type: lower-alpha;"" type="""">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p>When people go to a different country, sometimes it is hard. Sometimes it is because the culture is different. Everything can seem strange or unusual.</p>
	<ul>
		<li>Have you traveled to a different country?</li>
		<li>What did you see that was different?</li>
	</ul>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<dl>
		<dt>shock (n):</dt>
		<dd>a sudden, usually bad feeling caused by something unexpected.</dd>
		<dt>example:</dt>
		<dd>It was a big shock when I failed the test because I studied a lot.</dd>
		<dt>counseling (n):</dt>
		<dd>advice and support that people get when they need help.</dd>
		<dt>example:</dt>
		<dd>The college has career counseling for people who need to find a job.</dd>
	</dl>
	<h2>Passage</h2>
	<p>Masashi is an international student from Japan. He goes to school in the United States. He is very homesick. He goes to see a counselor. She gives him this paper to help him.</p>
	<blockquote>
		<p style=""text-align: center;""><strong>MABLEBERRY COLLEGE COUNSELING SERVICES</strong></p>
		<p>Moving to a new country can be difficult. But you can feel comfortable soon! How can you feel good in a new country?</p>
		<p><strong>What is Culture Shock?</strong><br>
		It is a feeling you may get when you leave your home and go to a new place. This new place is very different. For example, the food, the language, the people, and many other things are strange to you.<br>
		<strong>How do you know if you have Culture Shock?</strong></p>
		<p>Are you&hellip;</p>
		<ul>
			<li>Feeling sad and alone?</li>
			<li>Missing your home country a lot?</li>
			<li>Thinking the local culture is strange or bad?</li>
			<li>Having difficulty eating and sleeping?</li>
			<li>Spending most of your time alone?</li>
		</ul>
		<p><strong>Culture Shock Advice:</strong></p>
		<ul>
			<li>Learn about other cultures.</li>
			<li>Make friends with people from different countries.</li>
			<li>Laugh a lot! Do not be too serious.</li>
			<li>Stay healthy. Exercise. Eat fruits and vegetables. Go to bed early.</li>
			<li>Remember that other cultures are different. They are not better or worse.</li>
			<li>Try foods from other countries. You might like them!</li>
			<li>Learn some words in other languages.</li>
		</ul>
		<p>Please Contact Us:<br>
		Finley Hall, Room 172 (across from the Activities Center)<br>
		Phone: (623) 431-5515<br>
		E-mail: <a>mableberrycounselors@mc.edu</a><br>
		We are here to help you! You can feel better soon. Don&rsquo;t give up!<br></p>
	</blockquote>
</body>
</html>",What symptoms show that you might have culture shock? Choose all that apply. ,**You do not spend much time with other people. ,**It is hard for you to sleep. ,**Sometimes you feel lonely. ,You don’t do well in school. ,,
reading ,level 1,passage 3 question 1,ask and answer,daily life ,3,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>understand basic written requests and offers to help</li>
		<li>scan for some details in a simple paragraph or announcement</li>
		<li>understand simple written questions</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/Library.jpg""></p>
	<p>Do you have a library in your city? What are some things you can do at a library? Write down three things.</p>
	<p>Review this vocabulary word before reading. It will help you understand the passage.</p>
	<dl>
		<dt>prize (n):</dt>
		<dd>something that you win or get as an award.</dd>
		<dt>example:</dt>
		<dd>The prize for the winning team will be a t-shirt.</dd>
	</dl>
	<h1>Passage</h1>
	<p>Mr. Frank is a teacher at Yelm Elementary School. During the summer months, his students do not go to school. He sent this email to his students&rsquo; parents at the beginning of summer.<br>
	<br></p>
	<blockquote>
		<p>Dear Parents,</p>
		<p>The school year is finally over, and it is summer again! Along with many fun adventures, it is very important to help your child practice academic skills during the summer. One of the best ways to do this is to participate in a reading program. Our local library has a great program! I am attaching a flyer with more information to get started. If you have any questions or need any help, please email me.<br>
		<br>
		Mr. Jaron Frank</p>
		<hr>
		
		<p style=""text-align: center;""><strong>Yelm Summer reading Program</strong></p>
		<p>Yelm Library invites you to have a great summer by joining our Summer reading Program. Complete these steps to participate in our fun program!<br>
		<br>
		First, complete the application on the library website by answering these questions:</p>
		<ul>
			<li>What is your name and how old are you?</li>
			<li>Where do you go to school?</li>
			<li>Why do you like to read?</li>
		</ul>
		<p>Second, read, read, read, and record your reading.<br>
		As you read, go to the website to record what you read and how many minutes you read. In addition to counting your reading, you can record other literacy activities including attending a library event, drawing a picture of your favorite story, or writing a story. Your goal is to complete 400 minutes of literacy activities.<br>
		<br>
		Third, come into the library to choose your prize. Once you do 400 minutes of literacy activities, you will earn a reward. You can choose from several prizes, including a movie ticket, a free pizza, a new book, or a coupon for swimming lessons. If you finish 400 minutes, you can start again and earn another prize!</p>
	</blockquote>
</body>
</html>",Complete this sentence to give the main idea of Mr. Frank’s email. Select the correct ending from the list to the blank. Mr. Frank ________________. ,informs parents that their children do not have school during the summer ,offers to give students prizes if they read for 400 minutes during the summer,**encourages parents to help their child participate in a library summer reading program  ,wants parents to know about several interesting programs at the library during the summer  ,,
reading ,level 1,passage 3 question 2,ask and answer,daily life ,3,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>understand basic written requests and offers to help</li>
		<li>scan for some details in a simple paragraph or announcement</li>
		<li>understand simple written questions</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/Library.jpg""></p>
	<p>Do you have a library in your city? What are some things you can do at a library? Write down three things.</p>
	<p>Review this vocabulary word before reading. It will help you understand the passage.</p>
	<dl>
		<dt>prize (n):</dt>
		<dd>something that you win or get as an award.</dd>
		<dt>example:</dt>
		<dd>The prize for the winning team will be a t-shirt.</dd>
	</dl>
	<h1>Passage</h1>
	<p>Mr. Frank is a teacher at Yelm Elementary School. During the summer months, his students do not go to school. He sent this email to his students&rsquo; parents at the beginning of summer.<br>
	<br></p>
	<blockquote>
		<p>Dear Parents,</p>
		<p>The school year is finally over, and it is summer again! Along with many fun adventures, it is very important to help your child practice academic skills during the summer. One of the best ways to do this is to participate in a reading program. Our local library has a great program! I am attaching a flyer with more information to get started. If you have any questions or need any help, please email me.<br>
		<br>
		Mr. Jaron Frank</p>
		<hr>
		
		<p style=""text-align: center;""><strong>Yelm Summer reading Program</strong></p>
		<p>Yelm Library invites you to have a great summer by joining our Summer reading Program. Complete these steps to participate in our fun program!<br>
		<br>
		First, complete the application on the library website by answering these questions:</p>
		<ul>
			<li>What is your name and how old are you?</li>
			<li>Where do you go to school?</li>
			<li>Why do you like to read?</li>
		</ul>
		<p>Second, read, read, read, and record your reading.<br>
		As you read, go to the website to record what you read and how many minutes you read. In addition to counting your reading, you can record other literacy activities including attending a library event, drawing a picture of your favorite story, or writing a story. Your goal is to complete 400 minutes of literacy activities.<br>
		<br>
		Third, come into the library to choose your prize. Once you do 400 minutes of literacy activities, you will earn a reward. You can choose from several prizes, including a movie ticket, a free pizza, a new book, or a coupon for swimming lessons. If you finish 400 minutes, you can start again and earn another prize!</p>
	</blockquote>
</body>
</html>","In this paragraph from the passage, choose the THREE sentences that are an opinion.  
""The school year is finally over, and it is summer again!  Along with many fun adventures, it is very important to help your child practice academic skills during the summer. One of the best ways to do this is to participate in a reading program. Our local library has a great program! I am attaching a flyer with more information to get started. If you have any questions or need any help, please email me.""  ","The school year is finally over, and it is summer again! ","**Along with many fun adventures, it is very important to help your child practice academic skills during the summer.",**One of the best ways to do this is to participate in a reading program. ,"**Our local library has a great program! I am attaching a flyer with more information to get started. If you have any questions or need any help, please email me.  ",,
reading ,level 1,passage 3 question 3,ask and answer,daily life ,3,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>understand basic written requests and offers to help</li>
		<li>scan for some details in a simple paragraph or announcement</li>
		<li>understand simple written questions</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/Library.jpg""></p>
	<p>Do you have a library in your city? What are some things you can do at a library? Write down three things.</p>
	<p>Review this vocabulary word before reading. It will help you understand the passage.</p>
	<dl>
		<dt>prize (n):</dt>
		<dd>something that you win or get as an award.</dd>
		<dt>example:</dt>
		<dd>The prize for the winning team will be a t-shirt.</dd>
	</dl>
	<h1>Passage</h1>
	<p>Mr. Frank is a teacher at Yelm Elementary School. During the summer months, his students do not go to school. He sent this email to his students&rsquo; parents at the beginning of summer.<br>
	<br></p>
	<blockquote>
		<p>Dear Parents,</p>
		<p>The school year is finally over, and it is summer again! Along with many fun adventures, it is very important to help your child practice academic skills during the summer. One of the best ways to do this is to participate in a reading program. Our local library has a great program! I am attaching a flyer with more information to get started. If you have any questions or need any help, please email me.<br>
		<br>
		Mr. Jaron Frank</p>
		<hr>
		
		<p style=""text-align: center;""><strong>Yelm Summer reading Program</strong></p>
		<p>Yelm Library invites you to have a great summer by joining our Summer reading Program. Complete these steps to participate in our fun program!<br>
		<br>
		First, complete the application on the library website by answering these questions:</p>
		<ul>
			<li>What is your name and how old are you?</li>
			<li>Where do you go to school?</li>
			<li>Why do you like to read?</li>
		</ul>
		<p>Second, read, read, read, and record your reading.<br>
		As you read, go to the website to record what you read and how many minutes you read. In addition to counting your reading, you can record other literacy activities including attending a library event, drawing a picture of your favorite story, or writing a story. Your goal is to complete 400 minutes of literacy activities.<br>
		<br>
		Third, come into the library to choose your prize. Once you do 400 minutes of literacy activities, you will earn a reward. You can choose from several prizes, including a movie ticket, a free pizza, a new book, or a coupon for swimming lessons. If you finish 400 minutes, you can start again and earn another prize!</p>
	</blockquote>
</body>
</html>",What should parents do if they need help with the summer reading program?  ,**contact Mr. Frank  ,go to Mr. Frank’s school  ,go to the library in person  ,look on the library website  ,,
